org_id;restaurant_name;n_reviews;n_authors;avg_rating;med_text_len;pct_1_2;pct_5;pct_blank_author;pct_short20;pct_dup_norm_text;year_min;year_max;city;org_type
1,11705E+11;Nha Trang;35;31;4,742857;116.0;5,714286;91.428571;11,428571;54,285714;0.0;2025;2025;Казань;Кафе и рестораны
1,13668E+11;Супра;241;231;4,900415;165.0;1,659751;94.190871;4,149378;45,643154;0.0;2025;2025;Казань;Кафе и рестораны
1,15748E+11;Ресторан Баку;247;224;4,226721;75.0;12,145749;63.967611;9,311741;72,469636;0.809717;2019;2025;Казань;Кафе и рестораны
1,15896E+11;Вьетнам;145;129;4,558621;93.0;8,275862;82.758621;11,034483;64,137931;0.689655;2021;2025;Казань;Кафе и рестораны
1,20239E+11;Балканский гурман;373;336;4,573727;122.0;6,702413;80.428954;9,919571;56,032172;1.340483;2022;2025;Казань;Кафе и рестораны
1,21792E+11;Bubble Tea;260;240;4,588462;56.0;9,615385;88.461538;7,692308;81,538462;3.461538;2024;2025;Казань;Кафе и рестораны
1,22793E+11;Кабинет;305;280;4,609836;74.0;5,901639;78.688525;8,196721;71,803279;0.655738;2017;2025;Казань;Кафе и рестораны
1,25571E+11;АК чынаяк;58;45;4,413793;177.0;12,068966;75.862069;22,413793;36,206897;0.0;2025;2025;Казань;Кафе и рестораны
1,26489E+11;Vasilchuki Chaihona № 1;481;436;4,18711;129.0;17,047817;70.47817;9,355509;53,846154;1.039501;2018;2025;Казань;Кафе и рестораны
1,35779E+11;#ВсеСвои;22;20;4,590909;72.0;4,545455;81.818182;9,090909;77,272727;4.545455;2025;2025;Казань;Кафе и рестораны
1,37424E+11;Столовая;37;32;3,702703;79.0;29,72973;56.756757;13,513514;72,972973;0.0;2018;2025;Казань;Кафе и рестораны
1,38358E+11;Gina;359;316;4,272981;111.0;12,81337;69.916435;11,977716;56,267409;1.392758;2022;2025;Казань;Кафе и рестораны
1,38721E+11;Izum халяль;438;402;4,716895;99.0;5,251142;87.899543;8,219178;67,808219;0.228311;2024;2025;Казань;Кафе и рестораны
1,38753E+11;Симпончик;600;571;4,765;103.0;;88.5;4,833333;68,666667;0.166667;2023;2025;Казань;Кафе и рестораны
1,429E+11;Центральная Пельменная;359;337;4,78273;80.0;2,785515;88.857939;6,128134;72,423398;2.785515;2023;2025;Казань;Кафе и рестораны
1,45225E+11;OmNomNom;150;145;4,446667;205.5;8,666667;74.666667;3,333333;29,333333;0.0;2024;2025;Казань;Кафе и рестораны
